File name,Same sample as,Location,,,,Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Key findings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does the study include a figure(s) illustrating the key study findings?,Does the study include an image/graphic/figure of a conceptual framework?,Notes,,Open Access,ECPC member,ECPC affiliation,Authors,Year,Journal,DOI,OA URL,OpenAlex ID,Cited by,Abstract
**BLANK**,,,,,,Longitudinal,,,Observational,,Intervention/Prevention study,,,,,,,,,,,Key demographics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,** see summary of findings at the beginning of the Discussion section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"** (e.g., Fig 1 in this paper: https://www.bmj.com/content/371/bmj.m2876)",** add anything noteworthy,,,,,,,,,,,,
**BLANK**,,,,,,"** if yes, indicate time between time points, e.g., in years or months",,,** this means no intervention,,Name of the intervention (or brief descriptive title if name is not available),,,Control group?,Assignment to groups randomized?,,,,,,,"** e.g., age range, average age, proportion of gender/sex; socio-economic status, if described in the text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,** review the Results section; copy-paste description of key findings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**BLANK**,,-------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ----------------------------- WRITE BELOW THIS LINE ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country,Setting/location,latitude,longitude,,design,followup (months),quant_qual,type,,control,randomized,,,sample,age_0_8,age_9_25,adult,caregiver,teacher,,Child outcomes,,,,,,,,,,,,,,,,"Caregiver, family, household level",,,,,,,,,Other adult outcomes,,,,"Teacher-, classroom-, or school-level",,,,,Biomakers,,,,,Psychometrics,Descriptive,Group differences,Associations,,"Differential impact (""moderation"")",Mediation,Intervention impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aber, Larry — 2026 — Skill-Targeted Universal Social and Emotional Learning Interventions for Education in Conflict and Crisis: Experimental Impacts in Niger",,Niger,Diffa region (Diffa & Maine-Soroa towns); after-school remedial Healing Classroom Tutoring in 30 public schools,13.32,12.61,"yes (baseline Dec, midline Mar ~Cycle 1, endline May ~Cycle 2; ~22 weeks)",Cluster RCT (matched-pair / school-pair cluster randomization); 3 waves,5,quantitative,intervention,"Skill-targeted SEL added to Healing Classroom Tutoring (HCT): Mindfulness (Cycle 1, 11 weeks) then Brain Games (Cycle 2, 11 weeks)",Yes (HCT-only vs HCT + skill-targeted SEL),"yes (cluster, school-pair matched; 30 schools / 90 after-school classrooms)",,,"1,795 grade 2–4 children",Yes,Yes,,,,"1,795 second–fourth graders (53% girls; 19% Nigerian refugee, rest Nigerien local) in Diffa, Niger; selected by lottery from 4,994 low-performing eligible students; severe academic deficits at baseline (75–100% could not read Grade-1 French text; 61–98% could not solve simple subtraction)",Yes,,Yes,,,Yes,,Yes,Yes,Yes,,,,,"Stress regulation (school-related stress, stress reactivity); cognitive-emotional regulation in social context (hostile attribution, anger dysregulation, sadness dysregulation, reactive aggression); behavioral regulation",,,,,,,,,,,,,,,,,,,,,,,,"Cycle 1 (Mindfulness, 11 weeks) vs HCT-only: significant reduction in sadness dysregulation (ES=-0.30, p=.003) and marginal reduction in reactive aggression (ES=-0.29, p=.029); no impacts on school-related stress, other social-context regulation, behavioral regulation, executive function, social-emotional functioning, or academics. Cycle 1+2 (Mindfulness+Brain Games, 22 weeks): NO overall impacts on any proximal or distal outcome. | Moderation (exploratory, p<.05, unadjusted): Nigerian refugees improved more than Nigerien peers in cognitive inhibitory control from Mindfulness (ES=0.46, p=.017); girls showed steeper declines than boys in school-related stress (ES=-0.31, p=.020), sadness dysregulation (ES=-0.31, p=.002) and reactive aggression (ES=-0.47, p<.001), and greater working-memory gains from full-year SEL (ES=0.22, p=.014). | Baseline disadvantages: refugees < Nigerien children in working memory (b=-0.21, p=.026), social functioning (b=-0.16, p=.038), French literacy (b=-0.25, p=.005) and higher emotional/behavioral problems (b=0.20, p=.007); girls behind boys in working memory (b=-0.16, p=.016) and French literacy (b=-0.13, p=.013).",,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes (theory of change),"Cluster-RCT in 30 Diffa public schools (1,795 grade 2–4 students; 19% Nigerian refugees). CYCLE 1: adding Mindfulness to HCT significantly improved children's sadness dysregulation (ES=-0.30, p=.003) and marginally reactive aggression (ES=-0.29, p=.029); no impacts on school-related stress, other social-context regulation, behavioral regulation, executive function, social-emotional functioning, or academics. CYCLE 1+2 (Mindfulness + Brain Games, 22 weeks): NO overall impacts on any proximal or distal outcome. MODERATION: Nigerian refugees benefited more than Nigerien peers in inhibitory control from Mindfulness (ES=0.46, p=.017); girls benefited more than boys—steeper declines in school-related stress (ES=-0.31, p=.020), sadness dysregulation (ES=-0.31, p=.002), and reactive aggression (ES=-0.47, p<.001), and greater working-memory gains from full-year SEL (ES=0.22, p=.014). Low-cost SEL can support marginalized children (girls, refugees) at scale, but sustained, context-responsive program models are needed for broad impact.",,Yes,"Aber, Larry",New York University Steinhardt,"Ha Yeon Kim, Lindsay E. Brown, Carly Tubbs Dolan, Erick Ngoga, Rebecca Finney Fernandes, Zezhen Wu, J. Lawrence Aber",2026,Journal of Research on Educational Effectiveness,https://doi.org/10.1080/19345747.2025.2591604,https://doi.org/10.1080/19345747.2025.2591604,,,"Universal, school-based social-emotional learning (SEL) interventions hold the promise to promote children's academic learning and social and emotional skills necessary to cope with adversity in education in conflict and crisis. This study evaluated the sequential implementation of two sets of skill-targeted SEL activities—first the impact of an 11-week Mindfulness implementation alone, then the combined effect of Mindfulness and Brain Games over 22 weeks—with Nigerian refugee and Nigerien local second-to-fourth graders (n=1,795) attending remedial education programming in Diffa, Niger, via a cluster randomized controlled trial. Positive impacts of Mindfulness activities were observed on a select number of SEL outcomes, with additional benefits for refugees and girls, demonstrating the potential for low-cost SEL approaches to support vulnerable children at scale in crisis-affected contexts."
"Aber, Larry — 2023 — Evaluating Program Enhancement Strategies for Remedial Tutoring: A Cluster-Randomized Control Trial With Syrian Refugee Students in Lebanon",,Lebanon,Akkar & Bekaa regions; second-shift Lebanese public schools; non-formal Healing Classroom Tutoring (HCT),33.85,35.90,"yes (baseline–endline across two program cycles, SY2016–2017)",Cluster RCT (non-equivalent treatment groups; 3 arms),4,quantitative,intervention,Healing Classroom Tutoring (HCT) remedial program; tested longer duration (10 vs 26 weeks) and addition of skill-targeted SEL activities,Yes (3 arms: 1-cycle/10-week HCT; 2-cycle/26-week HCT; 26-week HCT + skill-targeted SEL),yes (cluster; 76 community sites stratified by region),,,"4,017 (intent-to-treat); 76 sites (Akkar j=38, Bekaa j=38)",Yes,Yes,,,,"Syrian refugee children in Lebanese public second-shift schools, aged 5–15 (M=8.98, SD=2.36), grades 1–9 (95% grade 6 or lower; 91% age ≤12); 49% female; 76 community sites in Akkar & Bekaa",Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,,"Perceptions of public-school environment (caring/supportive teachers, engaging/motivating, respectful/inclusive, safe) and of remedial-site environment; school-related stress & stress reactivity; cognitive-emotional regulation (hostile attribution, anger/sadness dysregulation, aggressive reaction); behavioral regulation",,,,,,,,,,,,,,,,,,,,,,,,"Vs 10 weeks, 26 weeks (2 cycles) of HCT marginally improved literacy (adjusted ES=0.04, p=.097, q=.051) and showed no impact on numeracy, but significantly improved externally-observed behavioral regulation (ES=0.31, p<.001, q=.001). | However, 26-week students reported LESS positive perceptions of their public school — less caring/supportive teachers (adjusted ES=-0.89, p<.001), less engaging/motivating climate (ES=-0.83), less respectful/inclusive schools (ES=-0.87) — and of their remedial site (less positive climate ES=-0.24; less engaging/safe ES=-0.15). | Adding skill-targeted SEL activities to 26 weeks increased student-reported school-related stress (ES=0.21; marginal, q=.09 after FDR correction), with marginal trends toward decreased aggressive reaction and higher teacher-reported externalizing, and no impacts on literacy or numeracy.",,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Yes (theory of change, Figure 1)","Cluster-RCT (4,017 Syrian refugee students; 76 sites). Vs 10 weeks, 26 weeks of HCT MARGINALLY improved literacy (ES=0.04, p=.097), SIGNIFICANTLY improved behavioral regulation (ES=0.31, p<.001), and reduced internalizing symptoms, hostile attribution and emotion dysregulation—BUT students reported LESS positive perceptions of their public-school environment (caring/supportive teachers ES=-0.89; engaging/motivating school ES=-0.83; respectful/inclusive school ES=-0.87) and of their remedial site (positive climate ES=-0.24; engaging/safe ES=-0.15). No impact on numeracy or executive function (26 vs 10 weeks). Adding skill-targeted SEL activities to 26 weeks INCREASED student-reported school-related stress (ES=0.21, p=.009), with marginal trends toward decreased aggressive reaction (ES=-0.12) and higher teacher-reported externalizing behavior (ES=0.22), and no impacts on literacy or numeracy. Implications: longer/more-intensive programming is not uniformly beneficial; design, dosage, and SEL integration require careful evaluation.",,Yes,"Aber, Larry",New York University Steinhardt,"Lindsay Brown, Kalina Gjicali, Ha Yeon Kim, Carly Tubbs Dolan, Paul Frisoli, Mahmoud Bwary, J. Lawrence Aber",2023,AERA Open,https://doi.org/10.1177/23328584231209268,https://doi.org/10.1177/23328584231209268,,,"Despite widespread enthusiasm for remedial education programming with refugee populations, there is little rigorous evidence on how to design and implement such programs. We employ a cluster-randomized design of non-equivalent treatment groups to test the impact of two types of program enhancement—longer program duration and the addition of skill-targeted social and emotional learning (SEL) activities—for Syrian refugees enrolled in Lebanese public schools. Compared to 10 weeks of programming, 26 weeks marginally increases students' literacy skills (ES=0.04) and significantly improves behavioral regulation (ES=0.31), but students reported less positive perceptions of their public school environment (ES=-0.83 to -0.89) and remedial tutoring site (ES=-0.15 to -0.24). The addition of skill-targeted SEL activities to 26 weeks results in higher student reports of school-related stress compared to programming without skill-targeted activities (ES=0.21). Implications for program and policy are discussed."
"Aber, Larry — 2025 — SEL in Countries Affected by Armed Conflicts and Protracted Crises",,Multi-country (narrative review),"Conflict-affected and crisis (CAC) contexts; draws on programs in DR Congo, Lebanon, Niger",,,no,Book chapter (conceptual / narrative review),,qualitative,review,,,not applicable,,,n/a (review),Yes,Yes,,,,Reviews SEL research with children/youth (0–18) in conflict-affected and crisis (CAC) contexts; situates evidence against the ~224 million school-age children (≈1 in 10 globally; 1 in 5 living in conflict-affected areas) affected by armed conflict and protracted crisis in 2023,Yes,,Yes,,,Yes,,Yes,Yes,,,,,,"Reviews academic, executive-function, social-emotional, mental-health, and regulation outcomes across SEL programs in CAC contexts; measurement of SEL in CAC",,,,,,,,,,,,,,,,,,,,,,,,"Narrative review (no new statistics). Synthesizes evidence largely from the authors' Global TIES for Children / IRC programs — Learning to Read in a Healing Classroom (DR Congo) and Healing Classroom Tutoring + skill-targeted SEL (Lebanon, Niger): SEL-infused remedial programming improved children's learning and some SEL/self-regulation outcomes but often showed NO impact on mental health, a critical distal outcome. | Situates evidence against ~1 in 5 children globally living in conflict-affected areas (≥224 million school-age children affected in 2023) and argues SEL measurement in CAC contexts is hampered by reliance on measures developed in stable, high-income, Western settings — calling for psychometric validation/contextualization and a common mapping framework (the Taxonomy Project).",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes (conceptual framework),"Conceptual chapter (Handbook of Social and Emotional Learning, 2nd ed., Guilford Press, Ch. 39) arguing that SEL research in conflict-affected and crisis (CAC) contexts must be INTEGRATED into—not siloed from—the broader SEL field, since 1 in 5 children globally live in conflict-affected areas (≥224 million school-age children affected in 2023). Reviews evidence largely from the authors' Global TIES for Children / IRC programs—Learning to Read in a Healing Classroom (DR Congo) and Healing Classroom Tutoring + skill-targeted SEL (Lebanon and Niger)—noting that SEL-infused remedial programming improved children's learning and some SEL/self-regulation outcomes but often showed NO impact on mental health, a critical distal outcome. Highlights challenges of measuring SEL in CAC settings (most measures developed in stable, high-income, Western contexts; need for psychometric validation and contextualization; the Taxonomy Project as a common mapping framework), competing stakeholder priorities, attendance/implementation constraints, and the need for an inclusive, representative, cumulative, and generalizable SEL science.",,No,"Aber, Larry",New York University Steinhardt,"Ha Yeon Kim, Rena Deitz, J. Lawrence Aber",2025,"Handbook of Social and Emotional Learning, 2nd ed. (J. A. Durlak et al., Eds.), Guilford Press — Chapter 39",,,,,"Book chapter reviewing the state of social and emotional learning (SEL) research and practice in countries affected by armed conflicts and protracted crises (CAC), and arguing for an inclusive, representative, and generalizable SEL science that integrates CAC contexts into the broader field."
"Cuartas, Jorge — 2023 — Corporal punishment and child development in low- and middle-income countries: Progress, challenges, and directions",,64 low- and middle-income countries,,,,,Rapid review,,quantitative,review,,,not applicable,,,>42 studies of children <18 across 64 LMICs,Yes,Yes,,Yes,,Review of >42 studies of children younger than 18 living in 64 LMICs; corporal punishment and child cognitive & social-emotional development,,,,Yes,,,,Yes,,,,,,,,,,,,,,Yes (corporal punishment),,,,,,,,,,,,,,,,,"Rapid review (no primary statistics; >42 studies of children <18 across 64 LMICs). Reviewed studies consistently show corporal punishment is associated with negative cognitive and social-emotional outcomes, with NO evidence of any positive developmental outcome; two of three children under five in LMICs are exposed to corporal punishment. | Internal/external validity limitations are common, so stronger multi-site designs are warranted, but current evidence indicates corporal punishment likely increases the risk of detrimental child outcomes in LMICs.",,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Rapid review of >42 studies across 64 LMICs on associations between corporal punishment and children's cognitive and social-emotional development. Reviewed studies consistently show corporal punishment is associated with NEGATIVE cognitive and social-emotional outcomes, with no evidence of any positive developmental outcome; two of three children under five in LMICs are exposed to corporal punishment. Internal/external validity limitations are common, so stronger multi-site designs are warranted, but current evidence indicates corporal punishment likely increases the risk of detrimental child outcomes in LMICs.",,No,"Cuartas, Jorge",Harvard University,Jorge Cuartas,2023,Child Psychiatry & Human Development,https://doi.org/10.1007/s10578-022-01362-3,,,,"Most studies of corporal punishment and child development focus on the U.S. and other high-income countries. This rapid review examined associations between corporal punishment and children’s cognitive and social-emotional development in LMICs, reviewing >42 studies of children <18 in 64 LMICs. Reviewed studies show associations between corporal punishment and negative cognitive and social-emotional outcomes, with no evidence of positive developmental outcomes; validity issues are common. Evidence indicates corporal punishment might increase the risk of detrimental outcomes in LMICs; stronger methodological designs across multiple settings are warranted."
"Cuartas, Jorge — 2026 — Digital support systems to improve child development in Peru: A cluster-randomized controlled open-label trial",,Peru,Rural Peru,-9.19,-75.02,yes (outcomes at child age ~2.5 years),Cluster-randomized controlled trial (open-label),,quantitative,intervention,AI-supported digital parenting chatbot vs traditional home visits,Yes,yes (cluster),,,"2,461 caregiver–child dyads",Yes,,,Yes,,"2,461 caregiver–child dyads in rural Peru; AI-supported digital parenting chatbot vs home visits vs control; child development at ~2.5 years",,,,Yes,Yes,,,Yes,,,,,,,,,,,,,Yes (parenting support / stimulation),,,cost-effectiveness; digital delivery,,,,,,,,,,,,,,,"Cluster-RCT in rural Peru (2,461 caregiver–child dyads). Relative to control, home visits (HVs) increased directly-assessed child development by 0.17 SD (95% CI 0.03–0.30) and the AI-supported digital intervention (DI) by 0.11 SD (95% CI 0.02–0.19) at ~2.5 years; similar magnitudes for caregiver-reported development (HV 0.10 SD; DI 0.12 SD). | HVs increased caregiver-reported stimulation by 0.29 SD and DI by 0.09 SD. At 1/15 of the cost of in-person support, the digital intervention yielded superior cost-effectiveness — suggesting digital platforms are a viable, scalable alternative in resource-constrained settings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,"Cluster-RCT in rural Peru (2,461 caregiver–child dyads) evaluating an AI-supported digital parenting chatbot and traditional home visits to improve child development. Both interventions improved child development at ~2.5 years, with standardized effect sizes of 0.11 (digital) and 0.17 (home visits). At 1/15 of the cost of in-person support, the digital intervention was far more COST-EFFECTIVE, suggesting digital platforms can be a scalable, viable way to support children's development in resource-constrained settings.",,Yes,"Cuartas, Jorge",Harvard University,"Günther Fink, Dana Charles McCoy, Lena Jäggi, Kristen Hinckley, Andreana Castellanos, … Jorge Cuartas, … Stella Hartinger Peña, Daniel Mäusezahl",2026,Science Advances,https://doi.org/10.1126/sciadv.aeb9403,,,,"Digital technologies have the potential to transform early childhood development (ECD) interventions by delivering personalized support at scale. We conducted a cluster-randomized controlled trial in rural Peru to evaluate the effectiveness and cost-effectiveness of an artificial intelligence–supported digital parenting chatbot as well as traditional home visits to improve child development. Among 2,461 caregiver–child dyads, both the digital and home-visiting interventions improved child development outcomes at 2.5 years of age, with standardized effect sizes of 0.11 and 0.17, respectively. At 1/15 of the cost of in-person support, the digital intervention yielded superior cost-effectiveness. These findings suggest that digital platforms can be a viable, scalable alternative to support children’s development in resource-constrained settings."
"Cuartas, Jorge — 2026 — Prenatal and Early Childhood Ambient Heat Exposure and Developmental Outcomes: A Systematic Review",,Global,,,,,Systematic review,,quantitative,review,,,not applicable,,,n/a (systematic review),Yes,,,Yes,,Systematic review of studies on prenatal and early-childhood ambient heat exposure and developmental outcomes,,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Systematic review (no primary statistics). Synthesizes evidence on prenatal and early-childhood ambient heat exposure and developmental outcomes, situated in a growing literature linking excessive heat to harms to physical health, mental health, behavior (e.g., violence) and learning (e.g., test-score declines). | Examines how extreme heat during sensitive prenatal and early-childhood periods relates to children's developmental outcomes and identifies evidence gaps and directions for research and policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes (conceptual framework),"Systematic review synthesizing evidence on prenatal and early-childhood ambient heat exposure and developmental outcomes. Situated in a growing literature linking excessive heat to harms to physical health, mental health, behavior (e.g., violence), and learning (e.g., test-score declines), the review examines how extreme heat during sensitive prenatal and early-childhood periods relates to children's developmental outcomes and identifies evidence gaps and directions for research and policy.",,No,"Cuartas, Jorge",Harvard University,Jorge Cuartas et al.,2026,Clinical Child and Family Psychology Review,https://doi.org/10.1007/s10567-026-00569-3,,,,
"Cuartas, Jorge — 2023 — Family play, reading, and other stimulation and early childhood development in five low- and middle-income countries",,Five low- and middle-income countries,,,,yes,Longitudinal (random- and child-fixed-effects models),,quantitative,observational,,,not applicable,,,Children across five LMIC longitudinal studies,Yes,,,Yes,,Young children across five LMIC longitudinal studies; caregiver engagement in nine stimulation activities and child development (IDELA-type assessments),Yes (literacy/numeracy),,Yes,Yes,,Yes (executive function),Yes (motor),Yes,,,,,,,,,,,,"Yes (caregiver stimulation: reading, playing, singing)",Yes (family stimulation activities),,,,,,,,,,,,,,,,,,"Across five LMIC longitudinal studies, random-effects and conservative child-fixed-effects models showed family stimulation (caregivers' engagement in nine activities, e.g., reading, playing, singing) predicted increments in children's development: a 1 SD increment in family stimulation related to increments of 0.05 SD (executive function) to 0.08 SD (numeracy, literacy, social-emotional skills). | Study-specific models showed variability, with null associations in two of the five studies — indicating a need for more research on culturally specific caregiver-stimulation practices.",,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Across five LMIC longitudinal studies, random-effects and more conservative child-fixed-effects models showed that FAMILY STIMULATION—caregivers' engagement in nine activities (e.g., reading, playing, singing)—predicted increments in children's early numeracy, literacy, social-emotional, motor, and executive-function skills (standardized associations 0.05–0.11 SD). Study-specific models showed variability, with null associations in two of the five studies, indicating a need for more research on culturally specific caregiver-stimulation practices.",,Yes,"Cuartas, Jorge",Harvard University,"Jorge Cuartas, Dana McCoy, Juliana Sánchez, Jere Behrman, Claudia Cappa, Georgina Donati, Jody Heymann, Chunling Lu, Abbie Raikes, Nirmala Rao, Linda Richter, Alan Stein, Hirokazu Yoshikawa",2023,Developmental Science,https://doi.org/10.1111/desc.13404,,,,"This study examined associations between family stimulation and early childhood development across five LMIC longitudinal studies. Random-effects and more conservative child-fixed-effects models indicate that family stimulation—caregivers’ engagement in nine activities (e.g., reading, playing, singing)—predicted increments in children’s early numeracy, literacy, social-emotional, motor, and executive-function skills (standardized associations 0.05–0.11 SD). Study-specific models showed variability, with null associations in two of the five studies. Findings indicate the need for additional research on culturally specific ways caregivers stimulate young children’s development."
"Cuartas, Jorge — 2023 — The acute effects of community violence on young children’s regulatory, behavioral, and developmental outcomes in a low-income urban sample in Brazil",,Brazil,"Seven low-income urban neighborhoods, São Paulo",-23.55,-46.63,no,Quasi-experimental (natural variation in timing/location of community homicides),,quantitative,observational,,,not applicable,,,"3,241 three-year-olds (M age 41 months; 53% female)",Yes,,,Yes,,"3,241 three-year-olds (M age=41.05 months; 53% female; 45% caregiver education <middle school) from seven low-income neighborhoods in São Paulo, Brazil",,,,Yes,Yes,,Yes,Yes,,Yes (behavior problems),,,,Yes (community violence exposure),effortful control / self-regulation,,,,,,,,,,,,,,,,,,,,,,,,"Quasi-experimental study leveraging natural variation in timing/location of community homicides (N=3,241 São Paulo 3-year-olds; M age 41 months, 53% female). Recent exposure to community homicides was associated with lower effortful control, higher behavior problems and lower overall developmental performance (d=.05–.20 SD; p=ns–<.001). | Effects were consistent across sociodemographic subgroups but generally largest when violence was geographically proximal (within 600 m of home) and recent (within 2 weeks prior to assessment).",,,Yes,Yes,,Yes (largest when proximal <600 m & recent <2 weeks),,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Quasi-experimental study leveraging natural variation in the timing/location of community homicides to estimate ACUTE effects on São Paulo 3-year-olds (N=3,241), comparing children assessed soon after a nearby recent homicide with neighbors not recently exposed. Recent exposure was associated with lower effortful control, higher behavior problems, and lower overall developmental performance (d=.05–.20). Effects were consistent across sociodemographic subgroups but largest when violence was geographically PROXIMAL (within 600 m) and RECENT (within 2 weeks), highlighting community violence as a pervasive early-life adversity warranting support to prevent inequities.",,No,"Cuartas, Jorge",Harvard University,"Dana C. McCoy, Marta Dormal, Jorge Cuartas, Angélica Carreira dos Santos, Günther Fink, Alexandra Brentani",2023,Journal of Child Psychology and Psychiatry,https://doi.org/10.1111/jcpp.13799,,,,"This study leverages natural variation in the timing and location of community homicides to estimate their acute effects on the regulatory, behavioral, and developmental outcomes of Brazilian 3-year-olds (N=3,241; M age=41.05 months; 53% female) from seven low-income São Paulo neighborhoods. Recent exposure to community homicides was associated with lower effortful control, higher behavior problems, and lower overall developmental performance (d=.05–.20). Effects were consistent across subgroups but generally largest when community-violence exposure was geographically proximal (within 600 m of home) and recent (within 2 weeks prior to assessment). Results highlight the pervasive effects of community violence on young children and the need to expand support to mitigate these effects and prevent inequities early in life."
"Dunne, Laura — 2023 — An evaluation of Lifestart, a universal home-based parenting programme in Ireland aimed at improving parent and child outcomes",,Ireland,Home-visiting across Ireland,53.4,-8.0,"yes (5-year RCT; pre-test <12 months, mid-point age 3, post-test age 5)",Randomised controlled trial (5 years),60,quantitative,intervention,"Lifestart (universal, structured, child-centred home-visiting parenting programme, birth–5 years)",Yes,yes,,,424 parents and children,Yes,,Yes (parents),Yes,,"424 parents and their children in Ireland; universal home-visiting from birth to age 5; outcomes at pre-test (<12 months), age 3, and age 5",,,,Yes,,,,Yes,,Yes,,,,,,,Yes (parenting-related stress),,,Yes (knowledge of child development),Yes (parental self-efficacy/confidence),,,,,,,,,,,,,,,,,,"Five-year RCT (424 parent–child pairs; outcomes at <12 months, age 3, age 5). Compared with controls, Lifestart parents reported greater knowledge of their child's development (ES=.277, p=.016), higher parenting confidence/self-efficacy (ES=.213, p=.047), and lower parenting-related stress (ES=−.220, p=.045). | NO evidence of change in child development outcomes (cognitive, behavioural, social or emotional) and no consistent differential effects by gender, first-time motherhood, high pre-test anxiety, or low maternal education — consistent with the programme's hypothesized theory of change.",,Yes,Yes,,,"Yes (no differential effects by gender, first-time motherhood, anxiety, maternal education)",,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes (theory of change),"Five-year RCT of the Lifestart universal home-visiting parenting programme (birth–5) in Ireland (424 parent–child pairs; outcomes at <12 months, age 3, age 5). Compared with controls, Lifestart parents reported REDUCED parenting-related stress, INCREASED knowledge of their child's development, and improved parenting confidence/self-efficacy. There was NO evidence of change in child development outcomes (cognitive, behavioural, social, or emotional) and no consistent differential effects by gender, first-time motherhood, high pre-test anxiety, or low maternal education. Results align with the program's hypothesized theory of change and with evaluations of similar programmes.",,Yes,"Dunne, Laura",Queen's University Belfast,"Sarah Miller, Laura Dunne, Sharon Millen, Erin Early, Liam Grant, Jennifer Davison, Clare McGeady",2023,Irish Educational Studies,https://doi.org/10.1080/03323315.2023.2185275,,,,"This five-year randomised controlled trial explored the impact of the Lifestart home-visiting parenting programme on parent and child development outcomes. Lifestart is a universal, structured, child-centred programme of information and practical activity for parents of children from birth to five years. In total, 424 parents and children participated, with outcomes measured at pre-test (child age <12 months), mid-point (age 3) and post-test (age 5). Compared to the control group, parents who received Lifestart reported reduced parenting-related stress, increased knowledge of their child’s development, and improved confidence in their parenting role. There was no evidence of change in child development outcomes (cognitive, behavioural, social or emotional) and no clear evidence of consistent differential effects by gender, first-time motherhood, high pre-test anxiety or low maternal education. Results are commensurate with evaluations of similar programmes and align with the hypothesised theory of change."
"Gutierrez-Torres, Maria — 2026 — Evidence based mental health interventions for children in fragile and conflict affected settings: expanding reach and system strengthening",,Fragile & conflict-affected settings (global),,,,,Commentary / analysis (BMJ Collection on Child Mental Health in Conflict Settings),,qualitative,review,,,not applicable,,,n/a (commentary),Yes,Yes,,,,Children and adolescents living through armed conflict and displacement worldwide,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commentary (no statistics). Argues decades of evidence show MHPSS interventions can reduce mental distress even in active fragile and conflict-affected settings, yet they remain confined to short-term, externally managed pilots rather than sustainable systems; calls for implementation science and systems strengthening to integrate MHPSS across health, education, and social-protection platforms. (Maria Alejandra Gutierrez-Torres is a co-author.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes (systems/platforms framework),"Commentary (BMJ Collection on Child Mental Health in Conflict Settings). The authors argue that decades of evidence show MHPSS interventions can reduce mental distress even in active fragile and conflict-affected settings, yet they remain confined to short-term, externally managed pilots rather than sustainable systems. They call for implementation science and systems strengthening to integrate MHPSS across health, education, and social-protection platforms to expand reach to children affected by conflict. (Same article as the Betancourt-attributed entry; Maria Alejandra Gutierrez-Torres is a co-author.)",,Yes,"Gutierrez-Torres, Maria",Boston College School of Social Work,"Serhat Yildirim, Maria Alejandra Gutierrez-Torres, William Byansi, Peter Ventevogel, Tania Bosqui, Theresa S. Betancourt",2026,BMJ,https://doi.org/10.1136/bmj-2025-086043,https://doi.org/10.1136/bmj-2025-086043,https://openalex.org/W7131241304,5,"Theresa S Betancourt and colleagues argue that implementation and systems strengthening are urgently needed to integrate mental health and psychosocial support interventions across health, education, and social protection platforms to reach children affected by conflict."
